"year","warehouse_name","product_id","product_name","net_qty"
"2026","Manakh WH/مخزن المناخ: Receipts","405","Tissue Loose/مناديل - مفلول","15.8500"
"2026","Manakh WH/مخزن المناخ: Receipts","449","JAWDA CARTON/كرتون الجودة مكبوس","2811.8100"
"2026","Mecca carton 2 WH/ مخزن مكة2 كرتون: Receipts","361","Mw Loose/مخلفات ميكس مفلول","19.9800"
"2026","Mecca carton 2 WH/ مخزن مكة2 كرتون: Receipts","363","Occ Loose/كرتون مفلول","646.0200"
"2026","Mecca carton 2 WH/ مخزن مكة2 كرتون: Receipts","380","Plastic Mix Loose/بلاستيك ميكس مفلول","32.6500"
"2026","Mecca carton 2 WH/ مخزن مكة2 كرتون: Receipts","394","Scrap Mix/سكراب ميكس","1.7300"
"2026","Mecca plastic 1 WH/ مخزن مكة1 بلاستيك: Receipts","363","Occ Loose/كرتون مفلول","1.3900"
"2026","Mecca plastic 1 WH/ مخزن مكة1 بلاستيك: Receipts","380","Plastic Mix Loose/بلاستيك ميكس مفلول","23.1900"
"2026","Qassim WH/ مخزن القصيم: Receipts","323","Occ Bales/كرتون مكبوس","31.6700"
"2026","Qassim WH/ مخزن القصيم: Receipts","335","Plastic PP Bales/بلاستيك بي بي - مكبوس","0.5200"
"2026","Qassim WH/ مخزن القصيم: Receipts","361","Mw Loose/مخلفات ميكس مفلول","19.4600"
"2026","Qassim WH/ مخزن القصيم: Receipts","363","Occ Loose/كرتون مفلول","1338.6700"
"2026","Qassim WH/ مخزن القصيم: Receipts","367","Plastic HD Loose/بلاستيك اتش دي مفلول","4.2300"
"2026","Qassim WH/ مخزن القصيم: Receipts","375","Plastic LD Loose/بلاستيك ال دي مفلول","1.1600"
"2026","Qassim WH/ مخزن القصيم: Receipts","386","Plastic PP Loose/بلاستيك بي بي مفلول","2.9000"
"2026","Qassim WH/ مخزن القصيم: Receipts","447","NCC Bales/كرتون جديد مكبوس","262.0900"
"2026","Shifa WH/ مخزن الشفا: Receipts","361","Mw Loose/مخلفات ميكس مفلول","3.5400"
"2026","Shifa WH/ مخزن الشفا: Receipts","363","Occ Loose/كرتون مفلول","567.3000"
"2026","Shifa WH/ مخزن الشفا: Receipts","380","Plastic Mix Loose/بلاستيك ميكس مفلول","0.8200"
"2026","WH/ مخزن الجودة المناخ: Receipts","503","SUPPLY OF ELECTRICAL PANEL (J)","1.0000"
"2026","WH/ مخزن الجودة المناخ: Receipts","504","PUMPS SAM/EXP/1452 (J)","1.0000"
"2026","WH/ مخزن الجودة المناخ: Receipts","505","PUMPS SAM/EXP/1504 (J)","1.0000"
